category,subcategory,product_title,price,rating,reviews,product_url,scraped_date
Electronics,Cameras,Sony A7IV,"₹ 215,521",3.7,26186,https://www.amazon.in/dp/933201732,16-01-2026 19:05
Fashion,Men,Denim Jeans,"₹ 478,930",4.9,20233,https://www.amazon.in/dp/941366831,16-01-2026 19:05
Books,Technology,Clean Code,"₹ 220,210",4.7,26601,https://www.amazon.in/dp/934606415,16-01-2026 19:05
Books,Self-Help,Mindset,"₹ 251,119",4.8,13481,https://www.amazon.in/dp/219540506,16-01-2026 19:05
Electronics,Headphones,Sennheiser Momentum,"₹ 25,863",4.2,49919,https://www.amazon.in/dp/219224956,16-01-2026 19:05
Fashion,Shoes,Boots,"₹ 224,527",3.6,42870,https://www.amazon.in/dp/370485924,16-01-2026 19:05
Electronics,Speakers,JBL PartyBox,"₹ 189,478",4.1,25886,https://www.amazon.in/dp/816863653,16-01-2026 19:05
Books,Mystery,The Silent Patient,"₹ 73,726",3,8957,https://www.amazon.in/dp/671643934,16-01-2026 19:05
Home & Kitchen,Bedding,Throw Blanket,"₹ 42,833",3.5,33865,https://www.amazon.in/dp/311005482,16-01-2026 19:05
Home & Kitchen,Cookware,Knife Set,"₹ 98,121",3.6,31907,https://www.amazon.in/dp/858137997,16-01-2026 19:05
Fashion,Accessories,Wrist Watch,"₹ 440,748",3.3,40109,https://www.amazon.in/dp/525499488,16-01-2026 19:05
Fashion,Women,Casual Top,"₹ 386,726",4.1,8982,https://www.amazon.in/dp/865722201,16-01-2026 19:05
Fashion,Women,Evening Dress,"₹ 419,876",3.7,32305,https://www.amazon.in/dp/302810170,16-01-2026 19:05
Electronics,Mobile Phones,Samsung Galaxy Z Fold 6,"₹ 491,952",4,19626,https://www.amazon.in/dp/721127864,16-01-2026 19:05
Fashion,Women,Summer Saree,"₹ 53,399",4.6,39124,https://www.amazon.in/dp/519142894,16-01-2026 19:05
Electronics,Speakers,UE Boom,"₹ 292,151",4.7,11954,https://www.amazon.in/dp/893207762,16-01-2026 19:05
Fashion,Men,Winter Jacket,"₹ 416,629",4.2,19161,https://www.amazon.in/dp/860369466,16-01-2026 19:05
Books,Mystery,Where the Crawdads Sing,"₹ 393,217",3.7,14608,https://www.amazon.in/dp/630448628,16-01-2026 19:05
Fashion,Sports,Sports Shorts,"₹ 190,758",3,34618,https://www.amazon.in/dp/355724307,16-01-2026 19:05
Home & Kitchen,Lighting,Wall Sconce,"₹ 82,763",3.5,35845,https://www.amazon.in/dp/508153603,16-01-2026 19:05
Electronics,Mobile Phones,Google Pixel 8,"₹ 335,415",4.2,21935,https://www.amazon.in/dp/309501882,16-01-2026 19:05
Books,Non-Fiction,Atomic Habits,"₹ 450,711",3.5,46916,https://www.amazon.in/dp/175406081,16-01-2026 19:05
Home & Kitchen,Cookware,Knife Set,"₹ 362,059",4.9,29910,https://www.amazon.in/dp/728301938,16-01-2026 19:05
Home & Kitchen,Bedding,Mattress Protector,"₹ 460,924",3.8,12768,https://www.amazon.in/dp/588518823,16-01-2026 19:05
Books,Self-Help,Start with Why,"₹ 129,815",3.2,29830,https://www.amazon.in/dp/862473400,16-01-2026 19:05
Fashion,Women,Summer Saree,"₹ 351,359",4.8,39294,https://www.amazon.in/dp/205024194,16-01-2026 19:05
Electronics,Mobile Phones,Samsung Galaxy Z Fold 6,"₹ 18,804",3.7,26047,https://www.amazon.in/dp/737239715,16-01-2026 19:05
Home & Kitchen,Storage,Storage Boxes,"₹ 251,160",4.6,14217,https://www.amazon.in/dp/347591678,16-01-2026 19:05
Books,Mystery,The Thursday Murder Club,"₹ 99,538",3.6,19726,https://www.amazon.in/dp/811523345,16-01-2026 19:05
Home & Kitchen,Cookware,Mixing Bowls,"₹ 382,095",3.2,28695,https://www.amazon.in/dp/667175886,16-01-2026 19:05
Fashion,Shoes,Casual Sneakers,"₹ 4,096",4.4,9525,https://www.amazon.in/dp/660863402,16-01-2026 19:05
Fashion,Shoes,Casual Sneakers,"₹ 374,682",4,24675,https://www.amazon.in/dp/543058887,16-01-2026 19:05
Home & Kitchen,Cookware,Stainless Steel Pot,"₹ 319,623",4.3,28795,https://www.amazon.in/dp/475799935,16-01-2026 19:05
Electronics,Speakers,Beats Pill,"₹ 35,469",4.4,9687,https://www.amazon.in/dp/118687804,16-01-2026 19:05
Home & Kitchen,Cookware,Stainless Steel Pot,"₹ 175,024",3.7,33554,https://www.amazon.in/dp/337023957,16-01-2026 19:05
Fashion,Men,Sports T-Shirt,"₹ 349,080",3.4,26175,https://www.amazon.in/dp/458551554,16-01-2026 19:05
Books,Fiction,Fourth Wing,"₹ 358,762",4.7,22175,https://www.amazon.in/dp/682697454,16-01-2026 19:05
Home & Kitchen,Storage,Shelving Unit,"₹ 480,998",4.2,43314,https://www.amazon.in/dp/220519134,16-01-2026 19:05
Home & Kitchen,Lighting,LED Bulb,"₹ 38,446",4.3,24724,https://www.amazon.in/dp/620513015,16-01-2026 19:05
Electronics,Headphones,Apple AirPods,"₹ 341,551",4.7,25306,https://www.amazon.in/dp/294292549,16-01-2026 19:05
Electronics,Mobile Phones,iPhone 15 Pro,"₹ 138,411",3.8,12277,https://www.amazon.in/dp/181821812,16-01-2026 19:05
Home & Kitchen,Cookware,Pressure Cooker,"₹ 395,565",3.6,35145,https://www.amazon.in/dp/615305635,16-01-2026 19:05
Books,Technology,RESTful Web Services,"₹ 274,085",4.8,25883,https://www.amazon.in/dp/687469388,16-01-2026 19:05
Books,Technology,Design Patterns,"₹ 283,012",3.9,42310,https://www.amazon.in/dp/594703787,16-01-2026 19:05
Home & Kitchen,Furniture,Bookshelf,"₹ 114,969",3.1,18988,https://www.amazon.in/dp/805092707,16-01-2026 19:05
Fashion,Women,Casual Top,"₹ 77,033",3.1,11613,https://www.amazon.in/dp/887598044,16-01-2026 19:05
Electronics,Laptops,Dell XPS 13,"₹ 57,491",3,18982,https://www.amazon.in/dp/616043182,16-01-2026 19:05
Fashion,Women,Evening Dress,"₹ 65,663",3.4,20770,https://www.amazon.in/dp/566495806,16-01-2026 19:05
Books,Fiction,Happy Place,"₹ 266,044",4.6,37906,https://www.amazon.in/dp/919228453,16-01-2026 19:05
Home & Kitchen,Bedding,Throw Blanket,"₹ 324,083",4.9,31451,https://www.amazon.in/dp/436830565,16-01-2026 19:05
Electronics,Laptops,MacBook Pro 16,"₹ 196,292",3.6,9047,https://www.amazon.in/dp/521546876,16-01-2026 19:05
